תאריך פרסום,מספר ילקוט הפרסומים,עמוד תחילת ההודעה,"סה""כ עמודים בגיליון",קישור ישיר לעמוד ההודעה,מבנה העמוד,סף הפרדה שם/תיאור (אותיות),שיטת הקביעה
2022-03-21,10287,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/hZXWCPn0dOf451ou0n21n~hWS8fe3r3wrlbHtln42Lo=,,,
2022-07-19,10674,4,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/qCynMwZB6U9~o0SN+~4rmnBtLqERimbXEsjoao75yiI=,,,
2022-08-02,10706,3,12,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/FTcS2HLmY+KO7Y0R7HzxmGU2KqHpEwR1bRZX0dTXdrs=,,,
2022-11-13,10898,4,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/dRGsI+SrmavYbn73icZsj97cG1~pmvZjA2D9vyg~Zhg=,,,
2023-02-27,11142,5,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/xwVHPAAtF6HGG7uwn5NrJi36p0daorLgEx8gmXTb3Cg=,,,
2023-05-22,11365,3,12,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/TBph1nZe3djgUjI2J3FLtVLhQ5E~ktTsCXkpYeVecJM=,,,
2023-08-17,11573,2,2,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/kq7C0KfJo~~3sSo8raflWLvikyppCr1PGjzT3C0rLKg=,,,
2024-01-11,11993,4,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/JI8ldWhBEdxzgElrfl1RCbzPPF2IJLqy9ZoKI2fxefY=,,,
2024-07-22,12572,4,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/LSrl59Kpu+O5Wk8sCecsGPQCrD4OR0nyJHhBIEJ7mts=,,,
2024-07-24,12579,2,4,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/LSrl59Kpu+O5Wk8sCecsGIlY2xdi0tIq+8Yw2u8y8zs=,,,
2025-08-10,13726,3,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/RMRipaVWNWZpL~jU6G6UZp7WK07BNFw4e0Un26ZgZ+U=,,,
2025-09-01,13791,3,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/nJWFDynWSvUwumJ5mlb~fYhy+RbShF+9T1aEPQD+VTM=,,,
2025-10-26,13897,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/akELY~vs8T1DBdmZDqg01+1rw9oykoJHaglEDaVakzs=,,,
2025-11-25,13994,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/jQ8O+u6u3BOCgn89G8fkimul8JM7bd8AwIwEkNqkO88=,,,
2025-12-11,14046,2,4,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/5+gkDPyy9I0MIUSer8baVmxrY2aEdPczyBNT+IHEaKM=,,,
2026-02-17,14268,3,4,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/mLB1e5BYSJFwMYCBfoG8LNYi50MLNJBEZEDy56mT0Ek=,,,
2026-03-24,14393,3,12,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/~yzVNv8WTXGx7G2z1ZM~J55iXdjE6Ku8e+KUbT3LEIc=,,,
2026-05-25,14581,2,8,https://free-justice.openapi.gov.il/free/moj/portal/rest/searchpredefinedapi/v1/SearchPredefinedApi/Documents/JaogRM2A7yH7Y7JjEYVBidzEvXHbeKmnu8uiyt~YETU=,,,
