קטגוריה,שם רשמי (עברית),תנועה מיישבת,"נ""צ",תיאור/מיקום חופשי,מספר גיליון,תאריך פרסום,עמוד,טור,ציון OCR,ציון OCR ממוצע,מילה עם הציון הנמוך
שמורות טבע,הַשיִרות,,154.134,"נ""צ 154.134",2633,1980-06-10,15,left,22.8,50.3,הַשיִרות
שמורות טבע,הַמסרק,,154.133,"נ""צ 154.133",2633,1980-06-10,15,left,51.9,73.7,הַמסרק
שמורות טבע,עיןהחמד,,162.133,"נ""צ 162.133",2633,1980-06-10,15,left,15.3,45.7,עיןהחמד
שמורות טבע,נחַל שורק,,155.129,"נ""צ. 155.129",2633,1980-06-10,15,left,25.8,55.8,"נ""צ."
שמורות טבע,הַר טיסים,,188.181,"נ""צ 188.181",2633,1980-06-10,15,left,17.3,55.6,הַר
שמורות טבע,חֶרבַּת סַעְֶדים,,162.188,"נ""צ 162.188",2633,1980-06-10,15,left,23.4,57.4,סַעְֶדים
שמורות טבע,מִערַת שורק,,152.128,"""צ 152.128",2633,1980-06-10,15,left,0,34.8,"""צ"
שמורות טבע,עינות צו'קים,,192.125,"נ""צ 192.125",2633,1980-06-10,15,left,74.8,86.4,צו'קים
שמורות טבע,עינות זקנה,,188.114,"נ""צ 188.114",2633,1980-06-10,15,left,41.7,73.8,188.114
שמורות טבע,נחל הבשור,,101.076,"נ""צ 101.076",2633,1980-06-10,15,left,43.7,69.4,"נ""צ"
שמורות טבע,בתרונות ?ארי,,101.095,"ב""צ 101.095",2633,1980-06-10,15,left,50.7,73.7,"ב""צ"
שמורות טבע,עין גדי,,185.096,"נ""צ 185.096",2633,1980-06-10,15,left,74.4,80.5,"נ""צ"
שמורות טבע,יטבתה,,154.918,"נ""צ 154.918",2633,1980-06-10,15,left,79.9,84.2,"נ""צ"
שמורות טבע,אַלמני אילת,,141.879,"""צ 141.879",2633,1980-06-10,15,left,4.7,59,"""צ"
עצמים גיאוגרפיים,נחל אָל־אָל,,228.258,"תחילתו בנ""צ 228.258, נכנס לנחל סמך בנ""צ 2173.2491.",2633,1980-06-10,16,right,62.4,84.9,אָל־אָל
עצמים גיאוגרפיים,נחל גובתָה,,222.400,"תחילתו בנ""צ 222.400 בגובה 2000 מ', עובר את הכפר נוה אטי""ב, יורד מצפון למבצר נמרוד, נכנס לנחל חרמון ליד בניאס.",2633,1980-06-10,16,right,50,87,גובתָה
עצמים גיאוגרפיים,נחל גֶלבון,,222.277,"תחילתו בנ""צ 222.277 (לרגלי מושב אור""טל), נשפך לעמק חולה בנ""צ 209.271, במהלכן מצוי מסל גלבון, הגבוה במפלי ישראל.",2633,1980-06-10,16,right,0,82.1,גֶלבון
עצמים גיאוגרפיים,נחל. גלשון,,215.296,"תחילתו בנ""צ 215.296, נכנס לנחל גובתה בנ""צ 2166.2957, זהו אפיק קטן, מצוקי ותלול, עשיר בצמחיה סכובה.",2633,1980-06-10,16,right,31.3,86.8,נחל.
עצמים גיאוגרפיים,נתל דליות,,229.961,"ראשיתו ליד הר פרס, נ""צ 229,961, נכנס לכגרת בנ""צ 209.254 (עובר ליד גמלא).",2633,1980-06-10,16,right,0,79.6,דליות
עצמים גיאוגרפיים,נחל. זְבְדִים,,215.999,"תחילתו בנ""צ 215.999 ליד הכפר רמתא. יורד לדרום, עובר ליד הכפר מזרעת זבדין ונכנס לנחל שיאון בנ""צ 2182.2968.",2633,1980-06-10,16,right,34,82.5,נחל.
עצמים גיאוגרפיים,נחל צ' זֶויתָן,,223.269,"תחילתו בנג""צ 223.269, נכנם לנחל משושים בנ""צ 2132.2592.",2633,1980-06-10,16,right,2.8,65.8,זֶויתָן
עצמים גיאוגרפיים,בתל חור,,219.296,"תחילתו ממערב למג'דל שמס בנ""צ 219.296, נכנס לנחל גובתה בנ""צ 2175.9957.",2633,1980-06-10,16,right,21.4,83,חור
עצמים גיאוגרפיים,נחל יהודֶיה,,229.272,"תחילתו בנ""צ 229.272, נכנס לכנרת בנ""צ 208.255, חוצה בדרכו את יער יהודיה.",2633,1980-06-10,16,right,20.1,81.6,יהודֶיה
עצמים גיאוגרפיים,מל כְֶף,,224.856,"תחילתו ליד הכפר. מזרעת קוניטרה בנ""צ 224.856, נכנס לכנרת בנ""צ 210.251.",2633,1980-06-10,16,right,27.9,71.8,לכנרת
עצמים גיאוגרפיים,נחל מצר,,,-יגמיג,2633,1980-06-10,16,right,46.5,68.1,-יגמיג
עצמים גיאוגרפיים,נחל| נוב,,227.284,"תחילתו בנ""צ 227.284, נכנס לנחל רקד בנ""צ 223.242.",2633,1980-06-10,16,left,3.6,80.1,נחל|
עצמים גיאוגרפיים,נחל ‏ מששים (משושים),,223.277,"תחילתו בנ""צ 223.277, נשפך לבקעת בית ציידה בנ""צ 2085-2552.",2633,1980-06-10,16,left,31.3,80.9,נחל ‏
עצמים גיאוגרפיים,נח? סער,,225.800,"תחילתי בנ""צ 225.800 במורדות החרמון, נכנס לנחל חרמון בנ""צ 4. מצלין את הגבול בין הגולן הבזלתי והתרמון.",2633,1980-06-10,16,left,39.3,82.8,מצלין
עצמים גיאוגרפיים,מל סְמֶך,,230.258,"תחילתו בנ""צ 230.258, נשפך לכגרת בנ""צ 210.248.",2633,1980-06-10,16,left,40.5,78.3,סְמֶך
עצמים גיאוגרפיים,נחל סנָאים,,218.297,"תחילתו בנ""צ 218.297 מצפון לנ""ג 1146, יורד מערבה, נכגם לנחל שיאון בנ""צ 2163.2980, באפיק נתגלו בעלי חיים נדירים וביניהם הסנאי הזהוב.",2633,1980-06-10,16,left,39.9,87.1,סנָאים
עצמים גיאוגרפיים,נמל עַרְעָר,,221.291,"תחילתו בנ""צ 221.291, עובר את בקעת מן, נכנס לנחל שיאון בנ""צ 8, זהו אפיק תלול, עשיר בצומת טיפוסי של החרמון; אלונים ובייחוד ערערים,",2633,1980-06-10,16,left,41.8,82.2,עַרְעָר
עצמים גיאוגרפיים,נחל ‏ פרע,,216.291,"תחילתו בנ'""צ 216.291, נכנס לנתל חרמון בג""צ 2136.2934.",2633,1980-06-10,16,left,28.4,64.3,לנתל
עצמים גיאוגרפיים,נתל רקד,,230.288,"תחילתו בנ""צ 230.288, נכנס לירמוך כ107 ק""מ מצפון*מזרח לחמת גדר בנ""צ 221,238. נחל זה מנקז את מזרח הגולן לכל אורכו.",2633,1980-06-10,16,left,58.5,85.3,מצפון*מזרח
עצמים גיאוגרפיים,נחל שִיאון,,224.803,"תחילתו בנ""צ 224.803 כ""7 ק""מ מצפון למג'דל שאמס, נכנם לנחל חרמון מצפון לשארדישוב בנ""צ 2119.2928.",2633,1980-06-10,16,left,19.2,79.5,לשארדישוב
עצמים גיאוגרפיים,הר אביטל,,224.279,"נ""צ 224.279, נ""ג 1204 מ'.",2633,1980-06-10,16,left,61.6,81.7,"נ""ג"
עצמים גיאוגרפיים,הר אַגָס,,2185.800,"נ""צ 2185.800, נ""ג 1352 מ'. במקום גדלים אגסי בר.",2633,1980-06-10,16,left,45.7,78.1,"2185.800,"
עצמים גיאוגרפיים,הר אדם,,,,2633,1980-06-10,16,left,90.4,92.8,אדם
עצמים גיאוגרפיים,הר בְוְְמרָה,,195.271,"נ""צ 195.271, השם ""הר אדמון"", שנקבע ביום 80.11.52 בטל.",2633,1980-06-10,17,right,11.1,76.2,בְוְְמרָה
עצמים גיאוגרפיים,הר בנְטֶל,,223.281,"נ""צ 223.281, נ""ג 1165 מ'.",2633,1980-06-10,17,right,0,62.8,בנְטֶל
עצמים גיאוגרפיים,הר ;ראװ,,223.284,"נ""צ 223,284, נ""ג 1056 מ'.",2633,1980-06-10,17,right,32.7,74.4,"223,284,"
עצמים גיאוגרפיים,הר םבפךים,,216.299,"נ""צ 216.299, נ""ג 1296 מ'.",2633,1980-06-10,17,right,65,85.9,םבפךים
עצמים גיאוגרפיים,הר וַרדָה,,,"נ""צל 224.290, נ""ג 1226 מ'.",2633,1980-06-10,17,right,32.8,69.2,וַרדָה
עצמים גיאוגרפיים,הר חרמונית,,224.287,"ב""צ 224.287, ב""ג 1211 מ'.",2633,1980-06-10,17,right,26.9,70.1,"ב""צ"
עצמים גיאוגרפיים,הר. יוסיסון,,224.273,"נ""צ 224,273, נ""ג 981 מ"".",2633,1980-06-10,17,right,48,69.4,יוסיסון
עצמים גיאוגרפיים,הר כַּחָל,,218.298,"נב""צ 218.298, נג""ג 1411 מ*",2633,1980-06-10,17,right,27.6,74.4,כַּחָל
עצמים גיאוגרפיים,הר כרָמִים,,222.201,"ב""צ 222.201, ב""ג 1190 מ"".",2633,1980-06-10,17,right,37.8,63.3,"ב""ג"
עצמים גיאוגרפיים,הר פרס,,281.264,"נ""צ 281.264, ג""ג 929 מ',",2633,1980-06-10,17,right,70.8,86.1,"מ',"
עצמים גיאוגרפיים,הר זרם,,284.223,"נ""צ 284 223, נ""ג 1182 מ'.",2633,1980-06-10,17,right,33.5,78,מ'.
עצמים גיאוגרפיים,הר ש”פו־ן,,275.222,"נ""צ 275 222, נ'יג 977 מ"", עליו גדל בר שיפון ההרים, שאינו מ צוי ממערב לירדן.",2633,1980-06-10,17,right,43.3,87.2,"מ"","
עצמים גיאוגרפיים,שלוחת שריון,,2100.2995,"שלוחה בין נחל שיאון לואדי אל מע'ר. על שלותה זו מצויים הר אגס בנ""יצ 2157.8006, והר הבתרים נ""צ 2100.2995.",2633,1980-06-10,17,right,14.4,83.3,"בנ""יצ"
עצמים גיאוגרפיים,גבעת אור!;זה,,230.259,"נ""צ 230.259, לרגלי הגבעה חאן גדול מתקופת הטורקים.",2633,1980-06-10,17,right,63.2,88,אור!;זה
עצמים גיאוגרפיים,גבעטת ;;ק,,221.257,"נ""צ 221.257, נ""ג 498 מ"".",2633,1980-06-10,17,left,0,64,גבעטת
עצמים גיאוגרפיים,גבעת חזק,,229.274,"נ""צ 229.274, שם קודם: תל חזיקה.",2633,1980-06-10,17,left,86.1,91.1,חזק
עצמים גיאוגרפיים,גבעת חֶמרֶה,,2958.2144,"נ""צ 2958 2144.",2633,1980-06-10,17,left,27,70,חֶמרֶה
עצמים גיאוגרפיים,גבעת טַליה,,226.265,"נ""צ 226.265, שם קודם: תל""אדטליע,",2633,1980-06-10,17,left,9.1,69.7,"תל""אדטליע,"
עצמים גיאוגרפיים,גבעת ;טור,,,"נ"" 220.252, נ""ג 455 מ'.",2633,1980-06-10,17,left,0,64.2,"נ"""
עצמים גיאוגרפיים,גבעת כַּזרֶה,,228.208,"נ""צ 228.208, נ""ג 874 מ.",2633,1980-06-10,17,left,32.3,61.8,מ.
עצמים גיאוגרפיים,עמק בולעַן,,224.801,"נ""צ 224.801, קבוצת דולינות גדולות היוצרות עמק נרחב ויפה, מכוסה שלגים,",2633,1980-06-10,17,left,7.7,75.4,בולעַן
עצמים גיאוגרפיים,עמק דבדבן,,223.301,"נ""צ 223.301, עמק קטן בשטח חלקה השופע שיחי דובדבן.",2633,1980-06-10,17,left,58.8,86.4,"223.301,"
עצמים גיאוגרפיים,עמק הָאשחֶר,,8012.2287,"נ""צ 8012 2287, דולינה, שבה גדל עץ האשחר.",2633,1980-06-10,17,left,42.3,83.3,הָאשחֶר
עצמים גיאוגרפיים,עמק שנונים,,891.216,"נ""צ 891 216, עמק טרשים, שבמרכזו בריכה",2633,1980-06-10,17,left,70.1,86.2,891
עצמים גיאוגרפיים,ברכת. הַמששים (המשושים),,212.260,"נ""צ 212.260, בריכה בתוך נחל המשושים.",2633,1980-06-10,17,left,33.4,81.2,הַמששים
עצמים גיאוגרפיים,ברכת ‏ חפור,,2181.2973,"ב""צ 2181.2973.",2633,1980-06-10,17,left,37.7,56.7,"ב""צ"
עצמים גיאוגרפיים,ברכת יבוֹןז,,220.299,"נ""צ 220,299, במרכז בקעת מן.",2633,1980-06-10,17,left,58.2,82.4,יבוֹןז
עצמים גיאוגרפיים,ברכת נקר,,219.303,"נ""צ 219.303, נקר שם של עוף מצוי. זוהי בריכה עונתית, הנמצאת בעמק השופע תפוחים ובוסתנים, השם הקודם: ברכת נקר.",2633,1980-06-10,17,left,8.8,86.3,"219.303,"
עצמים גיאוגרפיים,ברכת ךם,,222.293,"נ*צ 222.293, שם קודם: ברכת רם, הגדולה בבריכות הגולן.",2633,1980-06-10,18,right,34.2,77.9,הגולן.
עצמים גיאוגרפיים,ברכת| שנונים,,216.891,"ג""צ 216.891, נמצאת במרכז עמק שנונים.",2633,1980-06-10,18,right,0,60.3,ברכת|
עצמים גיאוגרפיים,מפל גִלְבון,,2117.2718,"נ""צ 2117.2718, מפל מים כנחל גלבון, רגבוה במפלי רגולן.",2633,1980-06-10,18,right,11.1,81,גִלְבון
עצמים גיאוגרפיים,מפל ךבו'ךה,,2127.2722,"נ""צ 2127.2722, מפל מים בנחל גלבון.",2633,1980-06-10,18,right,60.2,82.2,"2127.2722,"
עצמים גיאוגרפיים,המפל הַלְבֶן,,2203.2476,"נ""צ 2203.2476, מפל מים בנחל אל""על.",2633,1980-06-10,18,right,46.1,79.8,הַלְבֶן
עצמים גיאוגרפיים,מפל זֶויתַן,,214.264,"נ""צ 214.264, מפל מים בנחל, זויתן.",2633,1980-06-10,18,right,0,74.9,זֶויתַן
עצמים גיאוגרפיים,מפל סַעַר,,216.293,"נ""צ 216.293, מפל מים בנחל סער,",2633,1980-06-10,18,right,85.8,90,סַעַר
עצמים גיאוגרפיים,מפל רסיסים,,219.292,"נ""צ 219.292, מפל בנחל סער.",2633,1980-06-10,18,right,80.2,87.4,"נ""צ"
עצמים גיאוגרפיים,עין פמיאס,,215.294,"נ""צ 215.294, שם קודם: עין בניאס, שם היסטורי.",2633,1980-06-10,18,right,79.8,87.9,פמיאס
עצמים גיאוגרפיים,עינות קשיון,,187.229,"נ""צ 187.229, מעינות ליד תל קשיון, לרגלי הר תבור.",2633,1980-06-10,18,right,69.5,87.6,עינות
עצמים גיאוגרפיים,מצפה אֶפק,,215.242,"נ""צ 215.242, תצפית מערבה מאפיק.",2633,1980-06-10,18,right,0,71.2,אֶפק
עצמים גיאוגרפיים,מצפה בוֹלאָן,,224.400,"נ""צ 224.400, ג""ג 1900 מ', לציון חבולענים (דולינות) הרבים שבאזור.",2633,1980-06-10,18,right,54,82.4,"מ',"
עצמים גיאוגרפיים,מצפה ;דו'ת,,210.208,"ב*צ 210,208, כ""ם.1 ק""מ ממזרח לגדות.",2633,1980-06-10,18,right,51,72,ממזרח
עצמים גיאוגרפיים,מצפה ד גוְלְנִי,,214.292,"נ""צ 214.292, שם קודם: תל פאחר.",2633,1980-06-10,18,left,22.9,79.2,גוְלְנִי
עצמים גיאוגרפיים,מצפה םאו־ן,,221.237,"נ""צ 221,237.",2633,1980-06-10,18,left,55.8,73.5,"221,237."
עצמים גיאוגרפיים,מצפה שלְגִים,,225.802,"נ""צ 225.802, נ""ג 2224 מ' (הנקודה המזרחית ביותר בחרמון).",2633,1980-06-10,18,left,23,77.7,שלְגִים
עצמים גיאוגרפיים,בקעת יעפור,,222.994,"נ""צ 222,994, בקעה ליד מסעדה.",2633,1980-06-10,18,left,37,83.1,"222,994,"
עצמים גיאוגרפיים,בקעת מֶן,,220.299,"נ""צ 220.299, בגובה 1400 מ'. זוהי דולינת התמוטטות, המהווה כעין התרחבות של יובל מנחל שיאון. במרכזה בריכת מן, המחזיקה מים כמעט כל הקיץ ומשמשת להשקיית עדרים.",2633,1980-06-10,18,left,61.8,89.9,מֶן
עצמים גיאוגרפיים,אַלוני שיאון,,2177.2996,"נ*""צ 2177.2996, כד40 אלוגים במפגש נחל שיאון ונחל ערער.",2633,1980-06-10,18,left,26.1,77.2,אַלוני
עצמים גיאוגרפיים,כתף חרמון,,225.402,"חלקו המזרחי של החרמון, המתחיל מנ""צ 225.402 עד ג""צ 217.297.",2633,1980-06-10,18,left,65.1,86.1,225.402
עצמים גיאוגרפיים,כתף שִיאון,,217.304,"חלקו המערבי של החרמון, המתחיל מג""צ 217.304 עד לנ""צ 214.299",2633,1980-06-10,18,left,25.6,72.9,שִיאון
עצמים גיאוגרפיים,נחל טַלִימון,,153.225,"תחילתו בנ""צ 153.225 עד לנ""צ 148.222, ע""ש הגבעות הסמוכות \בנ""צ 148.223.",2633,1980-06-10,18,left,23.1,84.3,טַלִימון
עצמים גיאוגרפיים,באר '־'ע\;ין,,170.255,"נ*צ 170.255. ההחלטה בדבר השם באר נעיאל, דו""ח מליאה מס' 2, מלום 26,9.67 בטלה.",2633,1980-06-10,18,left,55.4,83.6,'־'ע\;ין
עצמים גיאוגרפיים,עין שור,,166.228,"נ""צ 166.228, מעין לרגלי תל שור, מצפון מערב לכפר""ברוך.",2633,1980-06-10,18,left,56.5,87.7,"לכפר""ברוך."
עצמים גיאוגרפיים,נחל הַגֶדִיב,,145.218,"תחילתו בנ""צ 145.218, עד לנ""צ 1440.2183, יורד מגן הנדיב עד לפתח מערת כברה.",2633,1980-06-10,18,left,15.6,82,הַגֶדִיב
עצמים גיאוגרפיים,עין חָנְָה י ח₪ +,,144.218,"ג""צ 144.218, השם הקודם: עין חמסח בטל.",2633,1980-06-10,19,right,0,70,חָנְָה
עצמים גיאוגרפיים,נחל דד כברה,,145.218,"תחילתו בנ""צ 145.218 עד לנ""צ 144.218, יורד מבית ההבראה ""רמז"" בזכרון""יעקב עד לפתח מערת כברה.",2633,1980-06-10,19,right,53.3,87.5,"בזכרון""יעקב"
עצמים גיאוגרפיים,נחל ת??פח,,144.217,"תחילתו בנ""צ 144.217 ער לנ""צ 143.217, יורד מרמת הנדיב עד לעיינות תמסח.",2633,1980-06-10,19,right,11.9,80.8,תמסח.
עצמים גיאוגרפיים,עינות תמפח,,143.217,"נ""צ 143.217. השם הקורדם: עיינות חנגיה בטל.",2633,1980-06-10,19,right,41.8,76.6,הקורדם:
עצמים גיאוגרפיים,נחל תראָה,,182.188,"תחילתו בנ""צ 182.188, נשפך לירדן בנ""צ 199.161. שם קודס: ואדי אל פרעה. ע""ש העיר המקראית תרצה, המזותה ליד מקורות הגחל.",2633,1980-06-10,19,right,57.2,87.8,תראָה
עצמים גיאוגרפיים,נחל אוג,,173.135,"תחילתו ממזרח להר הצופים בנ""צ 173.135, גשפך לים המלה בנ""צ 8 על שם צמח האוג הקוצני הגדל במצוקי מדבר יהודה, ממזרח להר הצופים עד ים המלח.",2633,1980-06-10,19,right,34.9,85.7,נחל
עצמים גיאוגרפיים,נחל אגוז,,172.133,"תחילתו בג""צ 172.133, נכנס לגחל קדרון בנ""צ 172.132.",2633,1980-06-10,19,right,39.9,82.8,נחל
עצמים גיאוגרפיים,רכס בית*גילה,,166.125,"נ*צ 166.125 עד נ""צ 164.120.",2633,1980-06-10,19,right,12.8,70.9,בית*גילה
עצמים גיאוגרפיים,נחל בית גילה,,167.125,"תחילתו בנ""צ 167.125 עד לנ""צ 166.127, עובר מצפון לרכס בית גלה. השם הקודם: גחל גלה בטל.",2633,1980-06-10,19,right,33.5,81.7,בטל.
עצמים גיאוגרפיים,נמל גורפן,,176.124,"תחילתו בנ""צ 176.124, נכנס לנהל קדרון בנ""צ 186.121.",2633,1980-06-10,19,right,20.9,73.4,גורפן
עצמים גיאוגרפיים,גחל דַרְגֶה,,171.127,"תחילתו בג""צ 171.127, נשפך לים המלח בנ""צ 189.108. השם הקודם ואדי דרג'ה שונה תחילה לנחל דרגות ועתה לנחל דרגה.",2633,1980-06-10,19,right,35.5,87.2,דַרְגֶה
עצמים גיאוגרפיים,"בקעת הוךזקו,'.:ה",,,"נ""צ מרכזי 187.128.",2633,1980-06-10,19,left,50.3,76.4,"הוךזקו,'.:ה"
עצמים גיאוגרפיים,גבעת הַמְטוס,,169.127,"נ""צ 169.127, גבעה ממערב למנזר מר אליאם, עליה מצבה לזכרו של טייס שהתרסק עם מטוסו במלחמת ששת הימים.",2633,1980-06-10,19,left,27.9,83.4,"אליאם,"
עצמים גיאוגרפיים,מעגנית הָמלֶח,,198.181,"נ""צ 198.181, חצי אי בצפון ים המלה, שימש כמעגן בעת גיאות פני הים. שמו הקודם: רג'מ אל בחר, איגו קיים עוד עקב ירידת מפלס ים המלח.",2633,1980-06-10,19,left,24.8,86.6,הָמלֶח
עצמים גיאוגרפיים,נחל חצצון,,172.110,"תחילתו בנ""צ 172.110, נשפך לים המלח בנ""צ 188.106. שמו הקודם: ואדי חצצה.",2633,1980-06-10,19,left,0,82.3,נחל
עצמים גיאוגרפיים,מצפה מורֶיָה,,173.142,"נ""צ 173.142, המצפה ליד מלון אינטרקונטיננטל על הר הזיתים, ממנו נראים העיר העתיקה והר הבית.",2633,1980-06-10,19,left,16.9,86.3,מורֶיָה
עצמים גיאוגרפיים,גחל סְבְכֶה,,184.126,"תחילתו בנ""צ 184.126 נכנס לגחל קומרן בג""צ 191.127.",2633,1980-06-10,19,left,38.5,77.3,סְבְכֶה
עצמים גיאוגרפיים,נחל פר;?ר,,185.113,"תחילתו בנ""צ 185.113 נכנס ליס המלח ליד עינות סמר בנ""צ 188,112.",2633,1980-06-10,19,left,53.9,86.4,פר;?ר
עצמים גיאוגרפיים,עינות פכז?ר,,,"ג""צ מרכזי 189.113, על שם צמה נפוץ באזור הנביעות.",2633,1980-06-10,19,left,44.5,81.1,צמה
עצמים גיאוגרפיים,גחל אָמוס,,170.115,"החילתו בנ""צ 170.115, מזרהח לח' תקוע, נכנס לנחל תקוע בנ""צ 9.",2633,1980-06-10,19,left,24.5,75.3,החילתו
עצמים גיאוגרפיים,ראש צוקים,,192.123,"נ""צ 192.123, שם קודם;: ראס פשחה.",2633,1980-06-10,19,left,60.6,85.6,קודם;:
עצמים גיאוגרפיים,עינות צרקי'ם,,,"נ""צ מרכזי 193.124 קבוצת מעיינות גפרית ומעינות מים מתוקים.",2633,1980-06-10,19,left,67.7,89.4,צרקי'ם
עצמים גיאוגרפיים,נחל קךרװ,,171.433,"תחילתו בג""צ 171.433, נשפך לים המלח בנ""צ 192.119.",2633,1980-06-10,19,left,33.8,83.1,"בנ""צ"
עצמים גיאוגרפיים,מצפה קדם,,185.101,"נ""צ 185.101, שם קודם: ראס אל מוקדם.",2633,1980-06-10,20,right,86.7,91.7,קדם
עצמים גיאוגרפיים,גחל קדם,,183.102,"4 תתילתן בנ""צ 183.102, נשפך לים המלח בנ""צ 187.102 (מצפון למצפה קדם).",2633,1980-06-10,20,right,43.7,88.8,תתילתן
עצמים גיאוגרפיים,עין קדם,,187.102,"נ""צ 187.102, מעינות גפרית חמים סמוכים לשפך נחל קדם.",2633,1980-06-10,20,right,86.4,91.7,קדם
עצמים גיאוגרפיים,נחל קומרֶן,,183.127,"תתילתר בנ""צ 183.127, נשפך לים המלח בנ""צ 194.126.",2633,1980-06-10,20,right,14.6,76,קומרֶן
עצמים גיאוגרפיים,עינות קומךן,,,"קבוצה גדולה של נביעות מדרום לח' קומרן, אשר היוו את מקור המים של ח' קמרון. הנביעות מצויות בין קואור' רוחב 126 1277 וקואור' אורך 193 וד194.",2633,1980-06-10,20,right,14.6,83.7,1277
עצמים גיאוגרפיים,עינות :קנה,,189.114,"נ""צ 189.114 מרכזי (לחוף ים המלח) על שם צמח הקנה המצוי במקום.",2633,1980-06-10,20,right,55.4,89.2,:קנה
עצמים גיאוגרפיים,נחל קנה,,185.114,"תחילתו בנ""צ 185.114, נשפך לים המלח מצפון לעינות קנה בנ""צ 5.₪",2633,1980-06-10,20,right,59.5,86.5,5.₪
עצמים גיאוגרפיים,רמת תלפיות,,172.129,"שטח רמתי המשתרע מתלפיות עד ארמון הנציב, שם קודם: ראס מוכבר. נ""צ 172.129.",2633,1980-06-10,20,right,67.6,89.9,"נ""צ"
עצמים גיאוגרפיים,שלוחת רְפָאים,,169.126,"נ""צ 169.126 עד 186.127.",2633,1980-06-10,20,right,19.1,72.1,רְפָאים
עצמים גיאוגרפיים,הר שמואל,,167.188,"נ""צ 167.188.",2633,1980-06-10,20,right,27.7,70.9,167.188.
עצמים גיאוגרפיים,עינות תנור,,,"קבוצה גדולה של נביעות, נ""צ מרבזי 193.125.",2633,1980-06-10,20,right,31.3,76.1,תנור
עצמים גיאוגרפיים,נחל תקוע,,167.122,"תחילתו בנ""צ 167.122, נכנס לנחל דרגה בנ""צ 185.110.",2633,1980-06-10,20,right,51.4,86.1,נכנס
עצמים גיאוגרפיים,| מצפה מךךג,,173.094,"נ""צ 173.094, שם קדדפ: חישם אום-דרג'.",2633,1980-06-10,20,left,16.3,65.5,חישם
עצמים גיאוגרפיים,נחל חָוְרִים,,125.026,"תחילתר בנ""צ 125.026, נשפך לנחל צין בנ""צ 128.028.",2633,1980-06-10,20,left,46.3,81.8,חָוְרִים
עצמים גיאוגרפיים,נחל מִצָרִים,,148.024,"תחילתו בנ""צ 148.024, נשפך לנחל הרועה. בנ""צ 135.035.",2633,1980-06-10,20,left,29.3,83.9,"148.024,"
עצמים גיאוגרפיים,נחל נוקד,,182.045,"תחילתו בנ""צ 182.045, נשפך לנחל בוקר בנ""צ 128.035.",2633,1980-06-10,20,left,35.1,83,"182.045,"
עצמים גיאוגרפיים,קין עְקב,,182.027,"נ""צ 182.027, ב""ג 444, פסגה מחודדת מאוד בקצה השלוחה הסוגרת על נחל עקב.",2633,1980-06-10,20,left,0,84.2,עְקב
עצמים גיאוגרפיים,הר צַרור,,132.0800,"נ""צ 132.0800, גבעת שפסנתה השטוחה בגוייה מאבן צור.",2633,1980-06-10,20,left,40.2,79.6,"132.0800,"
עצמים גיאוגרפיים,מעלה אשָלים,,181.082,"תזילתו בנ""צ 181.082 וראשו בנ""צ 181.053.",2633,1980-06-10,20,left,47,75.8,"בנ""צ"
עצמים גיאוגרפיים,עין גדרון,,1764.0221,"נ""צ 1764.0221, מעין באפיק נחל גדרון, מצפון""מזרח למושב חצבה",2633,1980-06-10,20,left,52.2,84.4,"מצפון""מזרח"
עצמים גיאוגרפיים,גבי כ%רס,,177.046,"נ""צ, 177.046, קבוצת גבי מים בתוך הנקיק הלבן של נחל פרס.",2633,1980-06-10,20,left,49.1,88.2,כ%רס
עצמים גיאוגרפיים,עין אָפית,,171.048,"נ""צ 171.048, מעין בנחל צפית.",2633,1980-06-10,20,left,66.5,84.8,אָפית
עצמים גיאוגרפיים,מעלה ז;קל”ם,,1439.0015,"מנ""צ 1439.0015 עד 1453.0014.",2633,1980-06-10,20,left,58,75.5,ז;קל”ם
עצמים גיאוגרפיים,י חַוֶה,,140.015,"נ""צ 140.015, גבי מים גדולים היוצרים בריכות המלאות מים כל השנה. הגבים נמצאים בתחתית קניון רב רושם של נחל חוה.",2633,1980-06-10,20,left,16.5,84.8,י
עצמים גיאוגרפיים,עק'!]טז,,142.015,"נ""צ 142.015, מעיין באפיק נחל חוה.",2633,1980-06-10,21,right,52.8,85.7,עק'!]טז
עצמים גיאוגרפיים,מעלה מִחמָל,,143.011,"מנ""צ 143.011 עד לנ""צ 143.011.",2633,1980-06-10,21,right,19.9,79,מִחמָל
עצמים גיאוגרפיים,שער ךמון,,1439.0013,"ב""צ 1439.0013, הגחל יוצר *שער"" בעוברו את המצוק הסוור על מכתש רמון.",2633,1980-06-10,21,right,61.8,85.8,"ב""צ"
עצמים גיאוגרפיים,נתל סוכך,,148.917,"תתילתו בנ""צ 148.917 נשפך בנ""צ 152.917.",2633,1980-06-10,21,right,62.3,83,תתילתו
עצמים גיאוגרפיים,נחל סלילון,,917.149,"תחילתו בנ""צ 917 149 נשפך בנ""צ 184.917.",2633,1980-06-10,21,right,22.8,80.5,184.917.
עצמים גיאוגרפיים,גיא אָבוד,,891.141,"נ""צ 891 141.",2633,1980-06-10,21,right,49.3,75.5,אָבוד
עצמים גיאוגרפיים,המפרץ םנעלם,,138.971,"""צ 138.971, כיגוי ה""פיורד"", כ-25 ק""מ דרומית מאילת.",2633,1980-06-10,21,right,0,71.4,"""צ"
